Season 4 (2017),Season 4 (2017),Season 4 (2017),Season 4 (2017),Season 4 (2017)
#,Episodes #,Air Date,Synopsis,Guest/Notes
567,514,"January 7, 2017",Jeong Jun-ha's Daesang Project,"Yang Se-hyung, Lee Kyung-kyu, Kim Jong-min, Shin Ji Short appearances by Song Eun-jeong (Jun-ha's stylist), Choi Ja-young (MBC Every1 Main PD) (via phone)"
568,515,"January 14, 2017",What Is Your Name? #1,"Yang Se-hyung, Kim Jong-min, Choi Min-yong, Jo Kwon"
569,516,"January 21, 2017",What Is Your Name? #2,"Yang Se-hyung, Baek Chung-kang Short appearances by Kim Jong-min (via phone), Jackson Wang, Byul (via phone)"
570,517,"February 18, 2017",Legend #1: Best 5 Characters,"Yang Se-hyung Infinite Challenge went for a 7-week hiatus to normalize the processes necessary to produce the show and to plan future projects.[21][22] During 4 of those weeks, MBC aired 4 'Legend' episodes that looked back on the show's past with commentary from the members. The viewers were asked about the best 5 characters created in Infinite Challenge, which were as followed. 1. ""Myeong-su is 12 Years Old"" (Ep.278, 279; 2011) 2. ""Infinite Company"" (2011-2013) ""Infinite Company Outing"" (Ep.250; 2011) ""Infinite Company with G-Dragon"" (Ep.297, 298; 2012) ""Infinite Company Musical"" (Ep.327, 332, 333; 2013) 3. ""The Temptation of Ahjummas"" (Ep.302; 2012) 4. ""General Park's Surprise Attack"" (Ep.154; 2009) 4. ""Manager Jeong is Buying!"" (Ep.231; 2011)"
571,518,"February 25, 2017",Legend #2: Best 5 Chase Specials,"Yang Se-hyung The viewers were asked about the best 5 chase specials in Infinite Challenge, which were as followed. 1. ""Catch the Tail Race"" (Ep.169, 170; 2009) 2. ""Run Away With the Money Bag Special"" (Ep.110-112; 2008) 3. ""Pimple Break"" (Ep.158, 159; 2009) 4. ""The Quarreling Brothers"" (Ep.187, 188; 2010) 5. ""Speed Special"" (Ep.265, 267, 268; 2011)"
572,519,"March 4, 2017",Legend #3: Best 5 Real Variety Specials,"Yang Se-hyung The viewers were asked about the best 5 real variety specials in Infinite Challenge, which were as followed. 1. ""A Desert Island Special"" (Ep.59, 60; 2007) 2. ""Telepathy Special"" (Ep.220, 221; 2010) 3. ""Life Theater: Yes or No"" (Ep.149, 150; 2009) 4. ""The Fellowship of Ice"" (Ep.15-17; 2006) 5. ""Home Alone Special"" (Ep.412; 2015)"
573,520,"March 11, 2017",Legend #4: Best 10 Slapstick Comedy,"Yang Se-hyung The viewers were asked about the best 10 slapstick comedy scenes in Infinite Challenge, which were as followed. 1. ""Rice Planting Special"" (Ep.56; 2007) 2. ""Kimchi Preparation Challenges"" (Ep.30; 2006) 3. ""Six Brothers and Sisters"" (Ep.145; 2009) 4. ""Farming Village Special"" (Ep.25; 2006) 5. Heading the Water Balloons (Ep.6; 2006, 58; 2007) 6. ""ChunHyang Special"" (Ep.153; 2009) 7. ""Waikiki Brothers"" (Ep.322, 323; 2013) 8. ""Badminton Challenge"" (Ep.120; 2008) 9. ""So Ji-sub Returns Special"" (Ep.264; 2011) 10. ""Alaska Special"" (Ep.40; 2007)"
574,521,"March 18, 2017",Battle! Hanamana #1,Yang Se-hyung becomes a regular member.
575,522,"March 25, 2017",Battle! Hanamana #2,"Kim Kyung-ho, Park Wan-kyu, Ha Sang-wook, Kim Tae-jin (musician), Kim Tae-ho (Infinite Challenge PD) At the end of the episode, Hwang Kwanghee said farewell to the viewers. He left the show to serve his military duty.[23][24]"
576,523,"April 1, 2017",IC comeback,Hwang Kwanghee's last appearance before his military duty.
