Season 4 (2016),Season 4 (2016),Season 4 (2016),Season 4 (2016),Season 4 (2016)
#,Episodes #,Air Date,Synopsis,Guest/Notes
514,461,"January 2, 2016",Wanted by Public #3,"8 detectives from Busan Metropolitan Police Agency (2 people per team) Detective Team 1 - Park Seong-hyeon, Moon Hyeong Detective Team 2 - Lee Do-gyeong, Kim In-tae Detective Team 3 - Jeong Tae-u, Kang Dae-hyeon Detective Team 4 - Lee Maeng-yeong, Yoon Mun-seong"
515,462,"January 9, 2016",Entertainment General Assembly,"Two assemblies. One discusses Infinite Challenge, the other discusses TV in general. First part (IC Assembly) - Kim Tae-ho (Infinite Challenge PD), critics Jeong Deok-hyun (popular culture critics), Wi Geun-woo (journalist) and Kim Gyo-seok (TV columnist) Second part (General Assembly): 2015 Variety Superstar: Lee Kyung-kyu (Variety King), Kim Gura, Kim Sung-joo, Yoon Jong-shin, Park Na-rae, Kim Young-chul, Seo Jang-hoon 2016 Variety Potential Talents: Yoon Jung-soo, Kim Sook, Yoo Jae-hwan [ko], MC Gree (son of Kim Gura), Shin Won-ho (via phone)"
516,463,"January 16, 2016",The Martian,"Shim Hyung-tak, PD Park Chang-hun"
517,464,"January 23, 2016",Letters of Fortune,
518,465,"January 30, 2016",Variety School: School of Fun,"Jack Black, Sam Okyere and Sam Hammington"
519,466,"February 6, 2016",Introducing My Ugly Friends Festival Season 2 #1,"Baekhyun (EXO) (via phone) Short appearance, and invited, but did not appear for festival: Yoo Hae-jin, Kim Young-chul, Jang Hang-jun, You Hee-yeol‚ Bae Cheol-soo Festival members: Jo Se-ho, Defconn, Kim Soo-yong, Ji Suk-jin, Woo Hyeon, Kim Hee-won, Bobby, Ha Sang-wook, Kim Tae-jin (musician), Lee Chun-soo, Byun Jin-sub, Lee Bong-ju"
520,467,"February 13, 2016",Introducing My Ugly Friends Festival Season 2 #2,"Festival members: Jo Se-ho, Defconn, Kim Soo-yong, Ji Suk-jin, Woo Hyeon, Kim Hee-won, Bobby, Ha Sang-wook, Kim Tae-jin (musician), Lee Chun-soo, Byun Jin-sub, Lee Bong-ju Additional guest performance: Zion.T"
521,468,"February 20, 2016",Introducing My Ugly Friends Festival Season 2 #3,"Festival members: Jo Se-ho, Defconn, Kim Soo-yong, Ji Suk-jin, Woo Hyeon, Kim Hee-won, Bobby, Ha Sang-wook, Kim Tae-jin (musician), Lee Chun-soo, Byun Jin-sub, Lee Bong-ju"
522,469,"February 27, 2016",The Bad Memory Eraser #1,"Mentors: Cho Chung-min, Kim Byung-hu, Kim Hyun-jung, Yoon Tae-ho, Haemin (Monk)"
523,470,"March 5, 2016",The Bad Memory Eraser #2,Sam Hammington
523,470,"March 5, 2016",The Ratings Special Forces #1,"Lee Sang-joo, Lim Sung-eun"
